2025-04-07 14:40:59 - Starting HTML content embedding generation process
2025-04-07 14:40:59 - Loading embedding model: paraphrase-multilingual-mpnet-base-v2...
2025-04-07 14:41:04 - Model loaded. Vector dimension: 768, Max sequence length: 128
2025-04-07 14:41:04 - Thread 44868: Created new database connection
2025-04-07 14:41:04 - Embedding column already exists in jobs table
2025-04-07 14:41:04 - Found 250 jobs needing embeddings
2025-04-07 14:41:05 - Updated embedding for job ID: 35411
2025-04-07 14:41:05 - Updated embedding for job ID: 35412
2025-04-07 14:41:05 - Updated embedding for job ID: 35413
2025-04-07 14:41:05 - Updated embedding for job ID: 35414
2025-04-07 14:41:06 - Updated embedding for job ID: 35415
2025-04-07 14:41:06 - Updated embedding for job ID: 35416
2025-04-07 14:41:06 - Updated embedding for job ID: 35417
2025-04-07 14:41:07 - Updated embedding for job ID: 35418
2025-04-07 14:41:08 - Updated embedding for job ID: 35419
2025-04-07 14:41:08 - Updated embedding for job ID: 35420
2025-04-07 14:41:08 - Updated embedding for job ID: 35421
2025-04-07 14:41:09 - Updated embedding for job ID: 35422
2025-04-07 14:41:09 - Updated embedding for job ID: 35423
2025-04-07 14:41:09 - Updated embedding for job ID: 35424
2025-04-07 14:41:10 - Updated embedding for job ID: 35425
2025-04-07 14:41:10 - Updated embedding for job ID: 35426
2025-04-07 14:41:10 - Updated embedding for job ID: 35427
2025-04-07 14:41:11 - Updated embedding for job ID: 35428
2025-04-07 14:41:11 - Updated embedding for job ID: 35429
2025-04-07 14:41:11 - Updated embedding for job ID: 35430
2025-04-07 14:41:11 - Updated embedding for job ID: 35431
2025-04-07 14:41:12 - Updated embedding for job ID: 35432
2025-04-07 14:41:12 - Updated embedding for job ID: 35433
2025-04-07 14:41:12 - Updated embedding for job ID: 35434
2025-04-07 14:41:13 - Updated embedding for job ID: 35435
2025-04-07 14:41:13 - Updated embedding for job ID: 35436
2025-04-07 14:41:13 - Updated embedding for job ID: 35437
2025-04-07 14:41:14 - Updated embedding for job ID: 35438
2025-04-07 14:41:14 - Updated embedding for job ID: 35439
2025-04-07 14:41:15 - Updated embedding for job ID: 35440
2025-04-07 14:41:15 - Updated embedding for job ID: 35441
2025-04-07 14:41:15 - Updated embedding for job ID: 35442
2025-04-07 14:41:16 - Updated embedding for job ID: 35443
2025-04-07 14:41:17 - Updated embedding for job ID: 35444
2025-04-07 14:41:17 - Updated embedding for job ID: 35445
2025-04-07 14:41:17 - Updated embedding for job ID: 35446
2025-04-07 14:41:18 - Updated embedding for job ID: 35447
2025-04-07 14:41:18 - Updated embedding for job ID: 35448
2025-04-07 14:41:19 - Updated embedding for job ID: 35449
2025-04-07 14:41:19 - Updated embedding for job ID: 35450
2025-04-07 14:41:20 - Updated embedding for job ID: 35451
2025-04-07 14:41:20 - Updated embedding for job ID: 35452
2025-04-07 14:41:20 - Updated embedding for job ID: 35453
2025-04-07 14:41:21 - Updated embedding for job ID: 35454
2025-04-07 14:41:21 - Updated embedding for job ID: 35455
2025-04-07 14:41:22 - Updated embedding for job ID: 35456
2025-04-07 14:41:22 - Updated embedding for job ID: 35457
2025-04-07 14:41:22 - Updated embedding for job ID: 35458
2025-04-07 14:41:23 - Updated embedding for job ID: 35459
2025-04-07 14:41:23 - Updated embedding for job ID: 35460
2025-04-07 14:41:23 - Progress: 50/250 jobs processed
2025-04-07 14:41:23 - Updated embedding for job ID: 35461
2025-04-07 14:41:24 - Updated embedding for job ID: 35462
2025-04-07 14:41:24 - Updated embedding for job ID: 35463
2025-04-07 14:41:24 - Updated embedding for job ID: 35464
2025-04-07 14:41:25 - Updated embedding for job ID: 35465
2025-04-07 14:41:25 - Updated embedding for job ID: 35466
2025-04-07 14:41:25 - Updated embedding for job ID: 35467
2025-04-07 14:41:26 - Updated embedding for job ID: 35468
2025-04-07 14:41:26 - Updated embedding for job ID: 35469
2025-04-07 14:41:26 - Updated embedding for job ID: 35470
2025-04-07 14:41:27 - Updated embedding for job ID: 35471
2025-04-07 14:41:27 - Updated embedding for job ID: 35472
2025-04-07 14:41:28 - Updated embedding for job ID: 35473
2025-04-07 14:41:28 - Updated embedding for job ID: 35474
2025-04-07 14:41:29 - Updated embedding for job ID: 35475
2025-04-07 14:41:29 - Updated embedding for job ID: 35476
2025-04-07 14:41:30 - Updated embedding for job ID: 35477
2025-04-07 14:41:30 - Updated embedding for job ID: 35478
2025-04-07 14:41:31 - Updated embedding for job ID: 35479
2025-04-07 14:41:31 - Updated embedding for job ID: 35480
2025-04-07 14:41:31 - Updated embedding for job ID: 35481
2025-04-07 14:41:32 - Updated embedding for job ID: 35482
