2025-04-06 22:14:16 - Starting HTML content embedding generation process
2025-04-06 22:14:16 - Loading embedding model: paraphrase-multilingual-mpnet-base-v2...
2025-04-06 22:14:24 - Model loaded. Vector dimension: 768, Max sequence length: 128
2025-04-06 22:14:24 - Thread 47944: Created new database connection
2025-04-06 22:14:24 - Successfully added embedding column to jobs table
2025-04-06 22:14:25 - Found 17016 jobs needing embeddings
2025-04-06 22:14:27 - Updated embedding for job ID: 49
2025-04-06 22:14:31 - Updated embedding for job ID: 60
2025-04-06 22:14:33 - Updated embedding for job ID: 61
2025-04-06 22:14:35 - Updated embedding for job ID: 81
2025-04-06 22:14:36 - Updated embedding for job ID: 86
2025-04-06 22:14:37 - Updated embedding for job ID: 89
2025-04-06 22:14:38 - Updated embedding for job ID: 94
2025-04-06 22:14:39 - Updated embedding for job ID: 101
2025-04-06 22:14:39 - Updated embedding for job ID: 106
2025-04-06 22:14:40 - Updated embedding for job ID: 107
2025-04-06 22:14:40 - Updated embedding for job ID: 123
2025-04-06 22:14:40 - Updated embedding for job ID: 124
2025-04-06 22:14:41 - Updated embedding for job ID: 126
2025-04-06 22:14:41 - Updated embedding for job ID: 146
2025-04-06 22:14:42 - Updated embedding for job ID: 149
2025-04-06 22:14:42 - Updated embedding for job ID: 154
2025-04-06 22:14:43 - Updated embedding for job ID: 163
2025-04-06 22:14:43 - Updated embedding for job ID: 168
2025-04-06 22:14:44 - Updated embedding for job ID: 186
2025-04-06 22:14:44 - Updated embedding for job ID: 194
2025-04-06 22:14:44 - Updated embedding for job ID: 195
2025-04-06 22:14:45 - Updated embedding for job ID: 199
2025-04-06 22:14:45 - Updated embedding for job ID: 205
2025-04-06 22:14:45 - Updated embedding for job ID: 216
2025-04-06 22:14:46 - Updated embedding for job ID: 219
2025-04-06 22:14:47 - Updated embedding for job ID: 240
2025-04-06 22:14:47 - Updated embedding for job ID: 242
2025-04-06 22:14:47 - Updated embedding for job ID: 249
2025-04-06 22:14:48 - Updated embedding for job ID: 267
2025-04-06 22:14:48 - Updated embedding for job ID: 280
2025-04-06 22:14:48 - Updated embedding for job ID: 285
2025-04-06 22:14:49 - Updated embedding for job ID: 296
2025-04-06 22:14:50 - Updated embedding for job ID: 302
2025-04-06 22:14:50 - Updated embedding for job ID: 314
2025-04-06 22:14:50 - Updated embedding for job ID: 317
2025-04-06 22:14:52 - Updated embedding for job ID: 328
2025-04-06 22:14:52 - Updated embedding for job ID: 355
2025-04-06 22:14:52 - Updated embedding for job ID: 384
2025-04-06 22:14:53 - Updated embedding for job ID: 385
2025-04-06 22:14:53 - Updated embedding for job ID: 386
2025-04-06 22:14:55 - Updated embedding for job ID: 387
2025-04-06 22:14:56 - Updated embedding for job ID: 388
2025-04-06 22:14:56 - Updated embedding for job ID: 389
2025-04-06 22:14:57 - Updated embedding for job ID: 390
2025-04-06 22:14:58 - Updated embedding for job ID: 391
2025-04-06 22:15:00 - Updated embedding for job ID: 392
2025-04-06 22:15:02 - Updated embedding for job ID: 393
2025-04-06 22:15:04 - Updated embedding for job ID: 394
2025-04-06 22:15:06 - Updated embedding for job ID: 395
2025-04-06 22:15:08 - Updated embedding for job ID: 396
2025-04-06 22:15:08 - Progress: 50/17016 jobs processed
2025-04-06 22:15:10 - Updated embedding for job ID: 397
2025-04-06 22:15:10 - Updated embedding for job ID: 398
2025-04-06 22:15:10 - Updated embedding for job ID: 399
2025-04-06 22:15:12 - Updated embedding for job ID: 400
2025-04-06 22:15:14 - Updated embedding for job ID: 401
2025-04-06 22:15:15 - Updated embedding for job ID: 402
2025-04-06 22:15:15 - Updated embedding for job ID: 403
2025-04-06 22:15:16 - Updated embedding for job ID: 404
2025-04-06 22:15:17 - Updated embedding for job ID: 405
2025-04-06 22:15:17 - Updated embedding for job ID: 406
2025-04-06 22:15:18 - Updated embedding for job ID: 407
2025-04-06 22:15:20 - Updated embedding for job ID: 408
2025-04-06 22:15:22 - Updated embedding for job ID: 409
2025-04-06 22:15:24 - Updated embedding for job ID: 410
2025-04-06 22:15:25 - Updated embedding for job ID: 411
2025-04-06 22:15:25 - Updated embedding for job ID: 412
2025-04-06 22:15:26 - Updated embedding for job ID: 413
2025-04-06 22:15:26 - Updated embedding for job ID: 414
2025-04-06 22:15:26 - Updated embedding for job ID: 415
2025-04-06 22:15:27 - Updated embedding for job ID: 416
2025-04-06 22:15:27 - Updated embedding for job ID: 417
2025-04-06 22:15:27 - Updated embedding for job ID: 418
2025-04-06 22:15:28 - Updated embedding for job ID: 419
2025-04-06 22:15:28 - Updated embedding for job ID: 420
2025-04-06 22:15:28 - Updated embedding for job ID: 421
2025-04-06 22:15:29 - Updated embedding for job ID: 422
2025-04-06 22:15:30 - Updated embedding for job ID: 423
2025-04-06 22:15:31 - Updated embedding for job ID: 424
2025-04-06 22:15:31 - Updated embedding for job ID: 425
2025-04-06 22:15:32 - Updated embedding for job ID: 426
2025-04-06 22:15:32 - Updated embedding for job ID: 427
2025-04-06 22:15:33 - Updated embedding for job ID: 428
2025-04-06 22:15:33 - Updated embedding for job ID: 429
2025-04-06 22:15:34 - Updated embedding for job ID: 430
2025-04-06 22:15:34 - Updated embedding for job ID: 431
2025-04-06 22:15:35 - Updated embedding for job ID: 432
2025-04-06 22:15:36 - Updated embedding for job ID: 433
2025-04-06 22:15:36 - Updated embedding for job ID: 434
2025-04-06 22:15:36 - Updated embedding for job ID: 435
2025-04-06 22:15:37 - Updated embedding for job ID: 436
2025-04-06 22:15:37 - Updated embedding for job ID: 437
2025-04-06 22:15:38 - Updated embedding for job ID: 438
2025-04-06 22:15:38 - Updated embedding for job ID: 439
2025-04-06 22:15:39 - Updated embedding for job ID: 440
2025-04-06 22:15:39 - Updated embedding for job ID: 441
2025-04-06 22:15:40 - Updated embedding for job ID: 442
2025-04-06 22:15:41 - Updated embedding for job ID: 443
2025-04-06 22:15:42 - Updated embedding for job ID: 444
2025-04-06 22:15:43 - Updated embedding for job ID: 445
2025-04-06 22:15:45 - Updated embedding for job ID: 446
2025-04-06 22:15:45 - Progress: 100/17016 jobs processed
2025-04-06 22:15:45 - Updated embedding for job ID: 447
2025-04-06 22:15:45 - Updated embedding for job ID: 448
2025-04-06 22:15:46 - Updated embedding for job ID: 449
2025-04-06 22:15:46 - Updated embedding for job ID: 450
2025-04-06 22:15:46 - Updated embedding for job ID: 451
2025-04-06 22:15:47 - Updated embedding for job ID: 452
2025-04-06 22:15:47 - Updated embedding for job ID: 453
2025-04-06 22:15:48 - Updated embedding for job ID: 454
2025-04-06 22:15:49 - Updated embedding for job ID: 455
2025-04-06 22:15:49 - Updated embedding for job ID: 456
2025-04-06 22:15:50 - Updated embedding for job ID: 457
2025-04-06 22:15:51 - Updated embedding for job ID: 458
2025-04-06 22:15:52 - Updated embedding for job ID: 459
2025-04-06 22:15:55 - Updated embedding for job ID: 460
2025-04-06 22:15:56 - Updated embedding for job ID: 461
2025-04-06 22:15:58 - Updated embedding for job ID: 462
2025-04-06 22:15:59 - Updated embedding for job ID: 463
2025-04-06 22:16:00 - Updated embedding for job ID: 464
2025-04-06 22:16:01 - Updated embedding for job ID: 465
2025-04-06 22:16:03 - Updated embedding for job ID: 466
2025-04-06 22:16:04 - Updated embedding for job ID: 467
2025-04-06 22:16:06 - Updated embedding for job ID: 468
2025-04-06 22:16:07 - Updated embedding for job ID: 469
2025-04-06 22:16:09 - Updated embedding for job ID: 470
2025-04-06 22:16:10 - Updated embedding for job ID: 471
2025-04-06 22:16:10 - Updated embedding for job ID: 472
2025-04-06 22:16:12 - Updated embedding for job ID: 473
2025-04-06 22:16:15 - Updated embedding for job ID: 474
2025-04-06 22:16:16 - Updated embedding for job ID: 475
2025-04-06 22:16:17 - Updated embedding for job ID: 476
2025-04-06 22:16:19 - Updated embedding for job ID: 477
2025-04-06 22:16:20 - Updated embedding for job ID: 478
2025-04-06 22:16:21 - Updated embedding for job ID: 479
2025-04-06 22:16:22 - Updated embedding for job ID: 480
2025-04-06 22:16:22 - Updated embedding for job ID: 481
2025-04-06 22:16:23 - Updated embedding for job ID: 482
2025-04-06 22:16:25 - Updated embedding for job ID: 483
2025-04-06 22:16:26 - Updated embedding for job ID: 484
2025-04-06 22:16:27 - Updated embedding for job ID: 486
2025-04-06 22:16:28 - Updated embedding for job ID: 487
2025-04-06 22:16:29 - Updated embedding for job ID: 489
2025-04-06 22:16:29 - Updated embedding for job ID: 490
2025-04-06 22:16:30 - Updated embedding for job ID: 491
2025-04-06 22:16:30 - Updated embedding for job ID: 492
2025-04-06 22:16:31 - Updated embedding for job ID: 493
2025-04-06 22:16:31 - Updated embedding for job ID: 494
2025-04-06 22:16:32 - Updated embedding for job ID: 495
